en,de
I have no one to confide in.,"Ich habe niemanden, dem ich trauen kann."
I have no problem with this.,Ich habe kein Problem damit.
I have nothing else to lose.,Ich habe nichts weiter zu verlieren.
I have one or two questions.,Ich habe ein paar Fragen.
I have several good friends.,Ich habe einige gute Freunde.
I have some doubts about it.,Ich habe einige Zweifel daran.
I have something to ask Tom.,Ich muss Tom etwas fragen.
I have to admit I'm curious.,"Ich muss zugeben, dass ich neugierig bin."
I have to attend this class.,Ich muss diesen Unterricht besuchen.
I have to borrow some money.,Ich muss mir Geld leihen.
I have to change my clothes.,Ich muss die Kleidung wechseln.
I have to cook dinner today.,Ich muss heute das Abendessen kochen.
I have to go to the dentist.,Ich muss zum Zahnarzt gehen.
I have to leave early today.,Ich muss heute früher gehen.
I have to pick some flowers.,Ich muss ein paar Blumen pflücken.
I have to try on this dress.,Ich muss dieses Kleid anprobieren.
I have to water the flowers.,Ich habe die Blumen zu gießen.
I haven't changed. You have.,"Nicht ich habe mich verändert, sondern du dich."
I haven't dismissed you yet.,Ich habe dich noch nicht entlassen.
I haven't even told my wife.,Ich habe es nicht einmal meiner Frau gesagt.
I haven't heard from anyone.,Ich habe von niemandem etwas gehört.
I haven't said anything yet.,Ich habe noch nichts gesagt.
I haven't seen Tom in weeks.,Ich habe Tom schon seit Wochen nicht mehr gesehen.
I haven't seen her for ages.,Ich habe sie schon seit einer Ewigkeit nicht mehr gesehen.
I haven't seen you for ages.,Ich habe euch seit Ewigkeiten nicht gesehen.
I haven't talked to Tom yet.,Ich habe noch nicht mit Tom gesprochen.
I haven't told Tom anything.,Ich habe Tom nichts erzählt.
I hear you're very talented.,"Man sagt, Sie seien sehr talentiert."
I heard something behind me.,Ich hörte etwas hinter mir.
I heard you guys whispering.,Ich habe euch flüstern hören.
I help Tom almost every day.,Ich helfe Tom fast jeden Tag.
I helped Tom unload his van.,Ich half Tom beim Ausladen seines Transporters.
I hope Tom changes his mind.,"Ich hoffe, Tom hat es sich anders überlegt."
I hope everything went well.,"Ich hoffe, es ist alles gut verlaufen."
I hope it'll work next time.,"Ich hoffe, nächstes Mal wirkt es."
I hope that he will help me.,"Ich hoffe, dass er mir hilft."
I hope that he will succeed.,"Ich hoffe, dass er erfolgreich sein wird."
I hope this isn't a mistake.,"Ich hoffe, dass das kein Fehler ist."
I hope you accept our offer.,"Ich hoffe, Sie nehmen unser Angebot an."
I hope you change your mind.,"Ich hoffe, ihr überlegt es euch anders."
I hope you'll get well soon.,"Ich hoffe, dass du bald wieder gesund wirst."
I hope you'll get well soon.,"Ich hoffe, dass es dir bald wieder besser geht."
I hope you're not mad at me.,"Ich hoffe, dass du mir nicht böse bist."
I invited them to the party.,Ich habe sie zur Party eingeladen.
I just got home from school.,Ich bin gerade von der Schule nach Hause gekommen.
I just received your letter.,Ich habe gerade deinen Brief bekommen.
I just saw Tom kissing Mary.,Ich habe Tom gerade Maria küssen sehen.
I just want this to be over.,"Ich will einfach nur, dass das aufhört."
I just wanted to say thanks.,Ich wollte mich nur bedanken.
I knew Tom would be thirsty.,"Ich wusste, Tom würde durstig sein."
I knew you were behind this.,"Ich wusste, dass du dahintersteckst!"
I knew you would understand.,"Ich wusste, dass du es verstehen würdest."
I know I can do this better.,"Ich weiß, dass ich das besser machen kann."
I know I'm not welcome here.,"Ich weiß, dass ich hier nicht willkommen bin."
I know Tom is a millionaire.,"Ich weiß, dass Tom Millionär ist."
I know Tom isn't happy here.,"Ich weiß, dass Tom hier nicht glücklich ist."
I know everything about Tom.,Ich weiß alles über Tom.
I know how busy you've been.,"Ich weiß, wie beschäftigt du warst."
I know how hard Tom studied.,"Ich weiß, wie fleißig Tom studiert hat."
I know it's hard to do that.,"Ich weiß, dass das schwerfällt."
I know that Tom is Canadian.,"Ich weiß, dass Tom Kanadier ist."
I know that Tom is a racist.,"Ich weiß, dass Tom ein Rassist ist."
I know that Tom is divorced.,"Ich weiß, dass Tom geschieden ist."
I know that girls like that.,"Ich weiß, dass Mädchen das gefällt."
I know that you like sports.,"Ich weiß, dass du Sport magst."
I know what I'm going to do.,"Ich weiß, was ich machen werde."
I know what Tom needs to do.,"Ich weiß, was Tom tun muss."
I know what you think of me.,"Ich weiß, was du von mir hältst."
I know what's going on here.,"Ich weiß, was hier vor sich geht."
I know who stole your diary.,"Ich weiß, wer dein Tagebuch gestohlen hat."
I know why you're not happy.,"Ich weiß, warum du nicht glücklich bist."
I know you miss your family.,"Ich weiß, dass du deine Familie vermisst."
I know you wouldn't do that.,"Ich weiß, du würdest das nicht tun."
I know you're looking at me.,"Ich weiß, dass du mich ansiehst."
I learned a valuable lesson.,Ich habe eine wertvolle Lektion gelernt.
I learned to read in school.,Ich habe in der Schule lesen gelernt.
I left your book in the car.,Ich habe dein Buch im Auto gelassen.
I lent my friend some money.,Ich lieh meinem Freund Geld.
I like Tom better than Mary.,Tom ist mir sympathischer als Maria.
I like girls with long hair.,Ich mag Mädchen mit langen Haaren.
I like strawberry ice cream.,Ich mag Erdbeereis.
I like to make faces at Tom.,Ich schneide Tom gegenüber gerne Grimassen.
I like your profile picture.,Dein Profilbild gefällt mir.
I live in a two story house.,Ich wohne in einem zweigeschossigen Haus.
I live in this part of town.,Ich lebe in diesem Viertel.
I locked the door behind me.,Ich schloss die Tür hinter mir zu.
I looked at Tom and laughed.,Ich sah Tom an und lachte.
I love all kinds of animals.,Ich liebe alle möglichen Tiere.
I love her and she loves me.,Ich liebe sie und sie liebt mich.
I love sitting on the beach.,"Ich liebe es, am Strand zu sitzen."
I made an apple pie for you.,Ich habe einen Apfelkuchen für dich gebacken.
I meet new people every day.,Ich lerne täglich neue Leute kennen.
I met nobody on my way home.,Ich begegnete auf dem Heimweg niemandem.
I might be able to help you.,Vielleicht kann ich euch helfen.
I might never see you again.,Vielleicht sehe ich dich nie wieder.
I must help her at any cost.,Ich muss ihr unbedingt helfen.
I must leave early tomorrow.,Ich muss morgen früh aufbrechen.
I must organize my thoughts.,Ich muss Ordnung in meine Gedanken bringen.
I must speak with you alone.,Ich muss dich mal unter vier Augen sprechen.
I nearly had a heart attack.,Ich hätte fast einen Herzinfarkt erlitten.
I need a box about this big.,Ich brauche eine Kiste von etwa dieser Größe.
I need people I can rely on.,"Ich brauche Leute, auf die ich mich verlassen kann."
I need to ask you something.,Ich muss dich etwas fragen.
I need to declutter my home.,Ich muss bei mir zu Hause mal klar Schiff machen.
I need to get back home now.,Ich muss jetzt zurück nach Hause.
I need to get some shut-eye.,Ich könnte etwas Schlaf gebrauchen.
I need to go to the library.,Ich muss zur Bibliothek.
I need to lose a few pounds.,Ich muss ein paar Pfund abnehmen.
I need to plan my next trip.,Ich muss meine nächste Reise planen.
I need to talk to Tom first.,Ich muss zuerst mit Tom reden.
I never learned how to swim.,Ich habe nie schwimmen gelernt.
I never said any such thing.,Ich habe nie etwas dergleichen geäußert.
I never told Tom to do that.,"Ich sagte Tom nie, er solle das tun."
I no longer have a headache.,Ich habe kein Kopfweh mehr.
I often have the same dream.,Ich habe oft den gleichen Traum.
I often see Tom leave early.,Ich sehe Tom oft früher gehen.
I only have one friend left.,Ich habe nur noch einen Freund.
I only wanted to be helpful.,Ich wollte nur helfen.
I personally don't think so.,Ich persönlich bin nicht der Ansicht.
I play tennis an hour a day.,Ich spiele jeden Tag eine Stunde lang Tennis.
I prefer to do it by myself.,Ich mache es lieber selbst.
I prefer walking to cycling.,Ich gehe lieber zu Fuß als Rad zu fahren.
I promise I won't forget it.,"Ich verspreche, dass ich es nicht vergessen werde."
I promise you I'll help you.,"Ich verspreche, dass ich dir helfen werde."
I promised Tom I'd help him.,"Ich habe Tom versprochen, ihm zu helfen."
I quit right then and there.,Ich habe auf der Stelle gekündigt.
I ran so I would be on time.,"Ich bin gerannt, um es noch rechtzeitig zu schaffen."
I read the report carefully.,Ich habe den Bericht sorgfältig gelesen.
I really don't like chicken.,Geflügel schmeckt mir überhaupt nicht.
I really don't want to play.,Ich will wirklich nicht spielen.
I really like these stories.,Ich mag diese Geschichten wirklich sehr.
I really regret kissing Tom.,"Ich bereue es sehr, Tom geküsst zu haben."
I really wanted to kiss Tom.,Ich wollte Tom wirklich küssen.
I refuse to respond to that.,"Ich weigere mich, darauf zu antworten."
I remember reading about it.,"Ich entsinne mich, davon gelesen zu haben."
I rode fifty miles that day.,An diesem Tag ritt ich fünfzig Meilen.
I run into Tom all the time.,Tom läuft mir andauernd über den Weg.
I said don't worry about it.,"Ich sagte doch, dass Sie sich darum nicht sorgen sollen."
I saw Tom a few minutes ago.,Ich habe Tom vor ein paar Minuten gesehen.
I saw Tom yesterday evening.,Ich habe Tom gestern Abend gesehen.
I saw a girl with long hair.,Ich habe ein Mädchen mit langen Haaren gesehen.
I saw a strange woman there.,Ich habe dort eine fremde Frau gesehen.
I scarcely believed my eyes.,Ich konnte kaum meinen Augen trauen.
I see a woman wearing black.,Ich sehe eine schwarz gekleidete Frau.
I seldom eat dairy products.,Ich esse selten Milchprodukte.
I shook my head and said no.,Ich schüttelte meinen Kopf und sagte Nein.
I should be done in an hour.,In einer Stunde bin ich wohl fertig.
I should make a reservation.,Ich sollte reservieren lassen.
I should pay more attention.,Ich sollte besser aufpassen.
I should tell Tom the truth.,Ich sollte Tom die Wahrheit sagen.
I should've called a doctor.,Ich hätte einen Arzt rufen sollen.
I should've stayed with Tom.,Ich hätte bei Tom bleiben sollen.
I should've told you sooner.,Ich hätte es dir eher sagen sollen.
I shouldn't have logged off.,"Es war eine schlechte Idee, sich abzumelden."
I showered before breakfast.,Ich habe mich vor dem Frühstück geduscht.
I slept the rest of the day.,Ich habe den Rest des Tages geschlafen.
I sometimes go to the beach.,Ich gehe manchmal an den Strand.
I spent last year in Boston.,Ich habe das letzte Jahr in Boston verbracht.
I started to prepare myself.,"Ich begann, mich vorzubereiten."
I still come here every day.,Ich komme immer noch jeden Tag hierher.
I still have to run errands.,Ich muss noch Besorgungen machen.
I still need to talk to Tom.,Ich muss noch immer mit Tom reden.
I still want to talk to you.,Ich möchte immer noch mit Ihnen reden.
I study once in a blue moon.,Ich lerne alle heiligen Zeiten mal.
I suggest you begin at once.,"Ich schlage vor, dass du gleich beginnst."
I suppose we have no choice.,Es bleibt uns wohl nichts anderes übrig.
I swim in the sea every day.,Ich schwimme jeden Tag im Meer.
I take that as a compliment.,Ich nehme das als Kompliment.
I thanked Mary for her help.,Ich dankte Mary für ihre Hilfe.
I think I have a broken rib.,"Ich glaube, ich habe mir eine Rippe gebrochen."
I think I know Tom's secret.,"Ich glaube, ich kenne Toms Geheimnis."
I think I made a difference.,"Ich denke, ich habe etwas bewirkt."
I think I understand it now.,"Ich denke, jetzt verstehe ich es."
I think I'd like to do that.,"Ich denke, ich würde das gerne machen."
I think I'll go and get Tom.,"Ich denke, ich werde Tom holen."
I think I'm going to go now.,"Ich denke, ich werde mich jetzt auf den Weg machen."
I think I've lost my wallet.,"Ich glaube, ich habe meine Brieftasche verloren."
I think Tom is discontented.,"Ich glaube, Tom ist unzufrieden."
I think Tom is here already.,"Ich glaube, Tom ist schon da."
I think Tom looks like John.,"Ich finde, Tom sieht wie John aus."
I think Tom needs your help.,"Ich denke, Tom braucht deine Hilfe."
I think Tom was lying to me.,"Ich glaube, Tom hat mich belogen."
I think Tom won't get bored.,"Ich denke, dass es Tom nicht langweilig werden wird."
I think about Tom sometimes.,Ich denke ab und zu an Tom.
I think he's a great writer.,"Ich finde, er ist ein toller Schriftsteller."
I think it'll snow tomorrow.,"Ich glaube, es schneit morgen."
I think my job is pointless.,"Ich denke, dass meine Arbeit sinnlos ist."
I think that Tom is helpful.,"Ich denke, dass Tom hilfreich ist."
I think that Tom lied to me.,"Ich glaube, dass Tom mich angelogen hat."
I think that Tom was hungry.,"Ich glaube, Tom hatte Hunger."
I think that we can do that.,"Ich glaube, wir können das tun."
I think that's quite normal.,"Ich denke, das ist ziemlich normal."
I think this guy is serious.,"Ich finde, der Knabe ist seriös."
I think we have enough food.,"Ich glaube, wir haben genügend Nahrungsmittel."
I think we need to call 911.,"Ich glaube, wir müssen die 110 wählen."
I think you know I like you.,"Ich denke, du weißt, dass ich dich mag."
I think you should pick Tom.,"Ich denke, du solltest Tom nehmen."
I think you'd like it there.,"Ich denke, du würdest es dort mögen."
I think you'll be impressed.,"Ich denke, ihr werdet beeindruckt sein."
I think you're exaggerating.,"Ich finde, du übertreibst."
I think you're just jealous.,"Ich glaube, du bist einfach nur eifersüchtig."
I think you've been lied to.,"Ich glaube, Sie sind belogen worden."
I thought I knew everything.,"Ich dachte, ich wüsste alles."
I thought I'd find you here.,"Dachte ich mir doch, dass ich dich hier fände!"
I thought Tom liked riddles.,"Ich dachte, Tom gefielen Rätsel."
I thought Tom was at school.,"Ich dachte, Tom wäre in der Schule."
I thought everyone was busy.,"Ich dachte, alle seien beschäftigt."
I thought it was really bad.,Ich fand das echt schlimm.
I thought that Tom was dead.,"Ich dachte, Tom wäre tot."
I thought that was your job.,"Ich dachte, das wäre deine Aufgabe."
I thought we did a good job.,"Ich dachte, wir hätten das gut gemacht."
I thought you loved reading.,"Ich dachte, du lesest gern."
I thought you were Canadian.,"Ich dachte, du bist Kanadier."
I thought you were Canadian.,"Ich dachte, Sie sind Kanadierin."
I thought you were a doctor.,"Ich dachte, du wärst Ärztin."
I thought you wouldn't come.,"Ich dachte, Sie kämen nicht."
I told Tom I couldn't do it.,"Ich habe Tom gesagt, dass ich das nicht kann."
I told Tom that I was tired.,"Ich sagte Tom, ich sei müde."
I told him about our school.,Ich erzählte ihm von unserer Schule.
I told you not to come here.,"Ich habe dir doch gesagt, du sollst nicht hierherkommen!"
I took Tom's blood pressure.,Ich habe Toms Blutdruck gemessen.
I took an arrow in the knee.,Ein Pfeil traf mich ins Knie.
I took over my father's job.,Ich habe den Beruf meines Vaters übernommen.
I tried to get Tom to laugh.,"Ich versuchte, Tom zum Lachen zu bringen."
I try not to think about it.,"Ich versuche, nicht daran zu denken."
I understand everything now.,Jetzt verstehe ich alles.
I used to be a teacher here.,Früher war ich hier mal Lehrer.
I used to do the same thing.,Ich pflegte dasselbe zu tun.
I used to live close to Tom.,Ich habe in der Nähe von Tom gewohnt.
I used to pretend I was Tom.,"Ich hatte die Angewohnheit, so zu tun, als ob ich Tom wäre."
I used to watch a lot of TV.,Früher habe ich viel Fernsehen geguckt.
I used to watch a lot of TV.,Früher habe ich viel ferngesehen.
I usually go to work by car.,Ich fahre gewöhnlich mit dem Auto zur Arbeit.
I visit him every other day.,Ich besuche ihn jeden zweiten Tag.
I waited for thirty minutes.,Ich habe dreißig Minuten lang gewartet.
I want breakfast in my room.,Ich möchte das Frühstück auf dem Zimmer.
I want people to believe me.,"Ich will, dass man mir glaubt."
I want to ask you something.,Ich will euch etwas fragen.
I want to be with my family.,Ich möchte bei meiner Familie sein.
I want to become an actress.,Ich will Schauspielerin werden.
I want to buy my house back.,Ich will mein Haus zurückkaufen.
I want to eat pizza tonight.,Ich hätte heute Abend Lust auf Pizza.
"I want to go to Boston, too.",Ich will auch nach Boston.
I want to know how Tom died.,"Ich will wissen, wie Tom gestorben ist."
I want to know what this is.,"Ich will wissen, was das ist."
I want to know who did this.,"Ich möchte wissen, wer das getan hat."
I want to know why you lied.,"Ich möchte wissen, warum du gelogen hast."
I want to know your opinion.,Ich will deine Meinung hören.
I want to learn how to swim.,Ich will Schwimmen lernen.
I want to make a difference.,Ich will etwas bewirken.
I want to see her very much.,Ich möchte sie sehr gerne sehen.
I want to see it for myself.,Ich möchte es selbst sehen.
I want to see what's inside.,"Ich will sehen, was darin ist."
I want to speak to a lawyer.,Ich will mit einem Anwalt sprechen.
I want to study mathematics.,Ich will Mathematik studieren.
I want to talk to Tom first.,Ich will zuerst mit Tom reden.
"I want to visit Boston, too.",Ich möchte auch Boston besuchen.
I want to work in Australia.,Ich will in Australien arbeiten.
I want you to come home now.,"Ich möchte, dass du jetzt nach Hause kommst."
I want you to meet everyone.,"Ich möchte, dass du alle kennenlernst."
I wanted to go to Australia.,Ich wollte nach Australien.
I was amazed at the results.,Ich war von den Ergebnissen verblüfft.
I was bitterly disappointed.,Ich war bitter enttäuscht.
I was born in Tokyo in 1968.,Ich wurde 1968 in Tokio geboren.
I was compelled to go there.,"Ich war gezwungen, dort hinzugehen."
I was exceptionally unlucky.,Ich hatte außerordentliches Pech.
I was hardly able to see it.,Ich konnte es kaum sehen.
I was hoping you'd say that.,"Ich habe gehofft, dass du das sagen würdest."
I was in love with Tom once.,Ich war einmal in Tom verliebt.
I was just about to go home.,Ich wollte gerade nach Hause gehen.
I was late for the last bus.,Ich habe den letzten Bus verpasst.
I was lucky to get that job.,"Ich hatte Glück, dass ich die Arbeitsstelle bekommen habe."
I was scared out of my mind.,Ich hatte eine Heidenangst.
I was starting to lose hope.,Ich verlor allmählich die Hoffnung.
I was swimming in the river.,Ich schwamm gerade im Fluss.
I was trying to fall asleep.,Ich versuchte einzuschlafen.
I was trying to talk to you.,"Ich versuchte, mit euch zu reden."
I was visited by a customer.,Ich wurde von einem Kunden besucht.
I wasn't expecting any help.,Ich erwartete keine Hilfe.
I wasn't wearing a name tag.,Ich habe kein Namensschild getragen.
I went shopping last Monday.,Ich bin letzten Montag einkaufen gegangen.
I went to Boston last month.,Ich bin letzten Monat nach Boston gefahren.
I went to the zoo yesterday.,Gestern bin ich in den Zoo gegangen.
I will certainly need a car.,Ich brauche garantiert ein Auto.
I will deal with him myself.,Ich werde mich seiner persönlich annehmen.
I will get it back from Tom.,Ich werde es mir von Tom wiederbeschaffen.
I will help you if possible.,"Wenn möglich, werde ich euch helfen."
I will never be your friend.,Ich werde niemals Ihr Freund werden.
I will not be busy tomorrow.,Ich werde morgen nicht viel zu tun haben.
I will play soccer tomorrow.,Morgen spiele ich Fußball.
I wish I could do something.,"Ich wünschte, ich könnte etwas tun."
I wish I had more free time.,"Ich wünschte, ich hätte mehr Freizeit."
I wish I were a millionaire.,"Schön wär’s, wenn ich Millionär wäre."
I wish that I could do more.,"Ich wünschte, ich könnte mehr tun."
I wish we had your problems.,"Ich wollte, wir hätten eure Probleme!"
I wish you hadn't done that.,"Ich wünschte, du hättest das nicht getan."
I wish you hadn't seen that.,"Ich wünschte, du hättest das nicht gesehen."
I wish you the best of luck.,Ich wünsche Ihnen viel Glück.
I wish you were close to me.,"Ich wünschte, ihr wäret in meiner Nähe!"
I wish you wouldn't do that.,"Ich wünschte, ihr würdet das nicht machen."
I won't ask why you want it.,"Ich werde nicht fragen, warum du das willst."
I won't be staying with you.,Ich werde nicht bei dir bleiben.
I won't complain about that.,Ich werde mich nicht darüber beklagen.
I won't forget what you did.,"Ich werde nicht vergessen, was du getan hast."
I won't keep you any longer.,Ich will Sie nicht weiter aufhalten.
I won't likely go to Boston.,Nach Boston gehe ich wohl nicht.
I won't tell Tom what to do.,"Ich werde Tom nicht sagen, was er tun soll."
I wonder what became of Tom.,"Ich frage mich, was aus Tom geworden ist."
I wonder where he is hiding.,"Ich frage mich, wo er sich versteckt."
I wonder why Tom didn't win.,"Ich frage mich, warum Tom nicht gewonnen hat."
I wonder why Tom is worried.,"Ich wüsste gerne, warum Tom besorgt ist."
I wonder why Tom needs that.,"Ich wüsste gerne, warum Tom das braucht."
I wonder why nobody told me.,"Ich wüsste gerne, warum mir das niemand gesagt hat."
I wonder why they chose Tom.,"Ich wüsste gerne, warum man Tom gewählt hat."
I worked far into the night.,Ich habe bis tief in die Nacht hinein gearbeitet.
I would highly recommend it.,Ich empföhle das wärmstens.
I would like to go with you.,Ich möchte mit dir gehen.
I would've never kissed Tom.,Ich hätte Tom niemals geküsst.
I wouldn't worry about that.,Ich würde mir deswegen keine Gedanken machen.
I wrote a letter in English.,Ich habe einen Brief auf Englisch geschrieben.
I'd already thought of that.,Ich hatte bereits daran gedacht.
I'd avoid Tom if I were you.,"Wenn ich du wäre, würde ich Tom aus dem Wege gehen."
I'd like a little more time.,Ich hätte gern etwas mehr Zeit.
I'd like something to drink.,Ich hätte gern was zu trinken.
I'd like to ask you a favor.,Ich möchte Sie um einen Gefallen bitten.
I'd like to buy half a cake.,Ich möchte gerne einen halben Kuchen kaufen.
I'd like to charter a yacht.,Ich möchte gerne eine Jacht mieten.
I'd like to get to know Tom.,Ich würde gerne Tom kennenlernen.
I'd like to join your group.,Ich würde der Gruppe gerne beitreten.
I'd like to marry Tom again.,Ich würde Tom gern noch mal heiraten.
I'd like to open an account.,Ich würde gern ein Konto eröffnen.
I'd like to say a few words.,Ich möchte einige Worte sagen.
"I'd like to see you, please.",Ich würde dich bitte gerne sehen.
I'd like to send a telegram.,Ich möchte ein Telegramm aufgeben.
I'd like you to do the same.,"Ich möchte, dass ihr das Gleiche tut."
I'd like you to meet my son.,Ich möchte Ihnen meinen Sohn vorstellen.
I'd love to go out with you.,Ich ginge sehr gerne mit dir aus.
I'd pay good money for that.,Dafür würde ich viel Geld bezahlen.
I'd rather not go out today.,Ich möchte heute lieber nicht ausgehen.
I'd really like to kiss you.,Ich würde dich wirklich gerne küssen.
I'll ask Tom what he thinks.,"Ich werde Tom fragen, was er denkt."
I'll be back in a few hours.,Ich bin in ein paar Stunden wieder da.
I'll be back within an hour.,In einer Stunde bin ich wieder da.
I'll be doing that with Tom.,Ich werde das mit Tom machen.
I'll be pleased to help you.,Mit Vergnügen werde ich Ihnen helfen.
I'll be seeing him tomorrow.,Ich treffe mich morgen mit ihm.
I'll be taking it from here.,Ich werde von hier an übernehmen.
I'll be very frank with you.,Ich werde sehr offen mit dir sein.
I'll carry as much as I can.,"Ich werde so viel tragen, wie ich kann."
I'll come up with something.,Ich werde mir etwas einfallen lassen.
I'll consider your proposal.,Ich werde über Ihren Vorschlag nachdenken.
I'll do it after Tom leaves.,"Ich mach’s, wenn Tom weg ist."
I'll find you a good doctor.,Ich werde einen guten Arzt für dich finden.
I'll give you what you want.,"Ich werde dir geben, was du willst."
"I'll have lemon tea, please.",Für mich bitte Zitronentee.
I'll have to meet you there.,Ich werde mich dort mit Ihnen treffen müssen.
I'll leave this work to you.,Ich überlasse diese Arbeit dir.
I'll look after Tom for you.,Ich werde mich für dich um Tom kümmern.
I'll make you what you want.,"Ich werde dir machen, was du willst."
I'll peel an orange for you.,Ich schäle dir eine Orange.
I'll phone tomorrow morning.,Ich werde morgen früh anrufen.
I'll play football tomorrow.,Morgen spiele ich Fußball.
I'll see to that personally.,Ich werde mich persönlich darum kümmern.
I'll see you in three hours.,Wir sehen uns in drei Stunden.
I'll show you how it's done.,"Ich zeige dir, wie man das macht."
I'll show you what I can do.,"Ich werde Ihnen zeigen, was ich kann."
I'll take my father's place.,Ich werde den Platz meines Vaters einnehmen.
I'll teach you how to write.,Ich werde dir Schreibunterricht geben.
"I'll tell Tom you said ""hi"".",Ich werde Tom von dir grüßen.
I'll try not to fall asleep.,"Ich werde versuchen, nicht einzuschlafen."
I'll wait till four o'clock.,Ich warte bis vier Uhr.
I'll write to you next week.,Ich schreibe Ihnen nächste Woche.
I'm a little angry with you.,Ich bin ein bisschen ärgerlich auf dich.
I'm afraid I have no choice.,"Ich fürchte, mir bleibt keine andere Wahl."
I'm afraid of offending you.,"Ich habe Angst, dich zu beleidigen."
"I'm already full, thank you.","Ich bin schon satt, vielen Dank."
"I'm an actress, not a model.","Ich bin Schauspielerin, kein Model."
I'm bad at making decisions.,Entscheidungen zu treffen liegt mir nicht.
I'm beginning to get scared.,Langsam wird mir angst.
I'm certain of your success.,Ich bin mir deines Erfolges sicher.
I'm coming back home by bus.,Ich komme jetzt mit dem Bus nach Hause.
I'm constantly getting lost.,Ich verlaufe mich ständig.
I'm doing what I have to do.,"Ich tue das, was ich tun muß."
I'm doing what I want to do.,"Ich mache, was ich machen will."
I'm from northern Australia.,Ich bin aus dem Norden Australiens.
I'm getting an MRI tomorrow.,Morgen bekomme ich eine Kernspintomographie.
I'm glad I could be of help.,"Es freut mich, dass ich helfen konnte."
I'm glad Mary isn't my wife.,"Ich bin froh, dass Maria nicht meine Frau ist."
I'm glad we're finally home.,"Ich bin froh, dass wir endlich zu Hause sind."
I'm glad you know the truth.,"Ich bin froh, dass ihr die Wahrheit kennt."
I'm glad you like our house.,"Ich freue mich, dass euch unser Haus gefällt."
I'm going shopping tomorrow.,Ich gehe morgen einkaufen.
I'm going to check upstairs.,Ich sehe oben nach.
I'm going to do you a favor.,Ich werde dir einen Gefallen tun.
I'm going to get your pills.,Ich hole eure Tabletten.
I'm going to give it to you.,Ich werde es dir geben.
I'm going to help you do it.,Ich werde euch dabei helfen.
I'm going to make you happy.,Ich werde dich glücklich machen.
I'm going to need some help.,Ich werde Hilfe benötigen.
I'm going to need your help.,Ich werde Ihre Hilfe benötigen.
I'm going to swim every day.,Ich werde täglich schwimmen.
I'm going to think about it.,Ich werde darüber nachdenken.
I'm good at keeping secrets.,Ich kann gut Geheimnisse bewahren.
I'm happy that Tom is happy.,"Ich bin froh, dass Tom glücklich ist."
I'm in Boston all this week.,Ich bin diese ganze Woche in Boston.
"I'm just looking, thank you.","Ich gucke nur, danke."
I'm looking it up right now.,Ich schlage es gerade nach.
I'm more beautiful than you.,Ich bin schöner als ihr.
I'm moving as fast as I can.,"Ich bewege mich, so schnell ich kann."
I'm much older than you are.,Ich bin viel älter als Sie.
I'm never helping you again.,Dir helfe ich nicht noch mal.
I'm not a young man anymore.,Ich bin kein ganz junger Mann mehr.
I'm not allowed to tell you.,Ich darf es dir nicht sagen.
I'm not angry at all of you.,Ich bin nicht jedem von euch böse.
I'm not done reading it yet.,Ich habe es noch nicht zu Ende gelesen.
I'm not feeling well lately.,In letzter Zeit geht es mir nicht gut.
I'm not going to allow that.,Das werde ich nicht zulassen.
I'm not going to let you go.,Ich werde euch nicht gehen lassen.
I'm not going to name names.,Ich werde keine Namen nennen.
I'm not here for a vacation.,"Ich bin nicht hier, um Urlaub zu machen."
I'm not in the mood anymore.,Ich bin dafür nicht mehr in Stimmung.
I'm not proud of what I did.,"Ich bin nicht stolz auf das, was ich getan habe."
I'm not studying French now.,Ich lerne jetzt kein Französisch.
I'm not sure if Tom will go.,"Ich bin mir nicht sicher, ob Tom geht."
I'm not that kind of person.,Da bin ich nicht der richtige Typ für.
I'm not very busy right now.,Ich bin gerade nicht sehr beschäftigt.
I'm not your friend anymore.,Ich bin nicht mehr dein Freund.
I'm older than your brother.,Ich bin älter als dein Bruder.
I'm on my way back home now.,Ich bin gerade am Weg zurück nach Hause.
I'm only trying to help you.,Ich will euch nur helfen.
I'm playing with my friends.,Ich spiele mit meinen Freunden.
I'm pretty happy to be here.,"Ich bin ziemlich glücklich, hier zu sein."
I'm proud to be your father.,"Ich bin stolz, dein Vater zu sein."
I'm really glad I came here.,Ich bin wirklich froh hierhergekommen zu sein.
I'm really happy to be here.,"Ich bin wirklich froh, hier zu sein."
I'm really proud of my club.,Ich bin echt stolz auf meinen Verein.
I'm really sorry about this.,Das tut mir wirklich leid.
I'm running out of patience.,Ich verliere die Geduld.
I'm so sorry for what I did.,"Was ich getan habe, tut mir sehr leid!"
I'm sorry I was rude before.,"Es tut mir leid, dass ich vorher grob war."
"I'm sorry, I can't help you.","Tut mir leid, ich kann dir nicht helfen."
"I'm sorry, I can't help you.","Es tut mir leid, ich kann dir nicht helfen."
"I'm sorry, but I have to go.","Es tut mir leid, aber ich muss gehen."
"I'm sorry, my father is out.","Es tut mir leid, mein Vater ist nicht zu Hause."
I'm still looking for a job.,Ich befinde mich noch auf Arbeitssuche.
I'm still working in Boston.,Ich arbeite immer noch in Boston.
I'm studying French at home.,Ich lerne zu Hause Französisch.
I'm sure Tom will be absent.,Tom wird bestimmt fehlen.
I'm sure it was an accident.,"Ich bin mir sicher, dass es ein Versehen war."
I'm switching the light off.,Ich schalte die Lampe aus.
